open_time,open,high,low,close,volume,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote
2024-01-16 10:55:00,2534.95,2535.9,2533.06,2533.92,611.0087,1548808.813795,2512,393.124,996478.224958
2024-01-16 11:00:00,2533.92,2535.65,2532.38,2535.2,744.9859,1887667.962292,2708,481.5658,1220199.385953
2024-01-16 11:05:00,2535.21,2537.94,2533.91,2534.05,832.3938,2110828.056485,3267,460.2697,1167062.266737
2024-01-16 11:10:00,2534.04,2537.59,2533.29,2536.75,701.2745,1778435.662565,2678,481.8048,1221867.806995
2024-01-16 11:15:00,2536.75,2537.7,2535.73,2537.7,828.3341,2101269.324915,2457,486.6415,1234506.008701
2024-01-16 11:20:00,2537.69,2537.92,2533.4,2533.43,677.0129,1716774.707621,2446,348.511,883826.169143
2024-01-16 11:25:00,2533.43,2535.5,2525.47,2525.87,1813.6027,4586020.340259,5421,675.8478,1708924.251899
2024-01-16 11:30:00,2525.88,2528.92,2521.98,2528.01,2947.9337,7442474.491991,5570,1176.8182,2970886.272841
2024-01-16 11:35:00,2528.0,2528.01,2522.67,2526.61,1086.8391,2745078.601473,4182,478.9715,1209795.722443
2024-01-16 11:40:00,2526.62,2529.92,2526.5,2529.66,517.8555,1309507.888205,2311,299.5457,757458.801237
2024-01-16 11:45:00,2529.66,2531.72,2529.63,2531.71,315.6376,798805.180733,1928,216.0137,546674.294606
2024-01-16 11:50:00,2531.71,2531.79,2529.44,2530.0,598.9693,1515732.346676,3026,295.2486,747105.600586
2024-01-16 11:55:00,2530.0,2531.5,2529.04,2530.77,386.5918,978217.601506,2439,150.6696,381206.628942
2024-01-16 12:00:00,2530.78,2532.72,2529.16,2532.17,537.3901,1360266.522261,3187,370.7025,938382.54864
2024-01-16 12:05:00,2532.17,2533.28,2531.28,2533.04,346.8707,878369.329228,1712,213.6529,541027.095665
2024-01-16 12:10:00,2533.05,2533.9,2531.94,2532.66,533.5657,1351451.386211,2308,227.0994,575166.94537
2024-01-16 12:15:00,2532.65,2533.99,2531.43,2531.44,496.5571,1257818.215025,2033,277.7755,703707.209743
2024-01-16 12:20:00,2531.44,2532.89,2530.0,2532.88,479.6451,1213914.972472,1781,265.3506,671544.614888
2024-01-16 12:25:00,2532.89,2539.28,2531.8,2537.81,938.5735,2380601.715644,3921,570.1948,1446137.488534
